, ,url,title,summary,claimant,verdict,party,topic,sub category,date_published,creator,publisher,license_type,copyright,verdict_simplified,date,number_articles_newsbank
53,5002500.0,https://www.abc.net.au/news/5002500,Doing the sums: How much is Clive Palmer worth?,"Federal MP and businessman Clive Palmer is referred to as a billionaire in the media, but he claims: ""I don't say I'm a billionaire. I've never said that. I've never said I've got any money"".",Clive Palmer,Billionare,Independent,Economy,Wealth,Mon Nov 25 08:45:26 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-11-25 08:45:26,0
54,5012086.0,https://www.abc.net.au/news/5012086,MP expenses: Are the rules clear?,"Labor leadership contender Anthony Albanese claims the rules on MP entitlements are ""pretty clear"".",Anthony Albanese,Incorrect,Labor,Politics,Political Conduct,Fri Oct 11 08:58:33 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-10-11 08:58:33,0
55,5012392.0,https://www.abc.net.au/news/5012392,Financial advisers not telling the full story on superannuation property risks,The head of a self-managed superannuation fund claims there is no evidence that self-managed super funds make reckless residential property purchases.,Andrea Slattery,Not the full story,Industry,Housing,"Super funds, property",Mon Oct 21 09:31:30 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-10-21 09:31:30,0
56,5014018.0,https://www.abc.net.au/news/5014018,Can Australia become the world's leading LNG exporter?,Industry Minister Ian Macfarlane claims Australia is set to become the world's second largest or largest exporter of LNG.,Ian Macfarlane,Fair bet,Liberal,Economy,LNG export,Mon Oct 14 09:29:21 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-10-14 09:29:21,55
57,5020718.0,https://www.abc.net.au/news/5020718,Will the ACT's marriage equality bill survive a High Court challenge?,ACT Chief Minister Katy Gallagher claims the ACT's marriage equality laws can operate concurrently with the federal Marriage Act.,Katy Gallagher,Doubtful,Labor,Gender,Marriage,Tue Oct 15 13:27:24 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-10-15 13:27:24,0
58,5023984.0,https://www.abc.net.au/news/5023984,Do vegetarians weigh less and have lower risk of disease than meat-eaters?,"Animal rights group PETA claims vegetarians and vegans weigh less than meat eaters and have a reduced risk of diseases such as cancer, heart disease, diabetes and strokes.",PETA,"Yes, but more to it",Industry,Health,Vegetarian,Thu Oct 17 14:42:22 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-10-17 14:42:22,0
59,5024250.0,https://www.abc.net.au/news/5024250,Would a delay in ACT same-sex marriage avoid leaving couples in limbo?,Federal Attorney-General George Brandis has asked the ACT Government not to give effect to its new laws until their constitutional validity is determined by the High Court.,George Brandis,Fair bet,Liberal,Social Issues,Marriage,Mon Oct 21 17:58:37 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-10-21 17:58:37,0
60,5026782.0,https://www.abc.net.au/news/5026782,Coalition in the ballpark on household savings from axing the carbon tax,Prime Minister Tony Abbott and Environment Minister Greg Hunt claim axing the carbon price will save households an average of $550 next financial year. ,Tony Abbott and Greg Hunt,In the ballpark,Liberal,Environment,"Coalition, carbon tax",Fri Oct 18 13:20:27 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-10-18 13:20:27,0
61,5029012.0,https://www.abc.net.au/news/5029012,Are train drivers in the Pilbara the highest paid in the world?,"UK transport commentator, Christian Wolmar claims train drivers in the Pilbara earn about $240,000 a year and are probably the highest-paid train drivers in the world. ",Christian Wolmar,Fair bet,Industry,Employment,Wages,Wed Oct 30 09:39:31 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-10-30 09:39:31,0
62,5030784.0,https://www.abc.net.au/news/5030784,Palmer United Party unlikely to get same number of staff as the Greens,Federal MP and businessman Clive Palmer claims he will ask the Prime Minister for the same level of resources as the Greens had in the last government.,Clive Palmer,Unlikely,Independent,Politics,Palmer United Party,Wed Oct 23 11:06:02 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-10-23 11:06:02,0
63,5037662.0,https://www.abc.net.au/news/5037662,Has hazard reduction in NSW increased two-and-a-half times under Barry O'Farrell?,NSW Premier Barry O'Farrell claims his government has increased the amount of hazard reduction two-and-a-half times.,Barry O'Farrell,Close to the mark,Liberal,Environment,"Hazard reduction, bushfires",Wed Oct 23 15:46:01 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-10-23 15:46:01,0
