step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
178,995648,5696,0.014879313436021672,0.78125,0.78125,,,,,
179,1000288,5728,0.019045535501535857,0.71875,0.71875,,,,,
180,1006208,5760,0.015195450422664718,0.78125,0.78125,,,,,
181,1010592,5792,0.01925403866444953,0.71875,0.71875,,,,,
182,1014976,5824,0.01871941658710078,0.8125,0.8125,,,,,
183,1019616,5856,0.014280732400445771,0.84375,0.84375,,,,,
184,1025280,5888,0.015605478170024613,0.65625,0.65625,,,,,
185,1030176,5920,0.016989353207166023,0.78125,0.78125,0.01442716876604351,0.65625,0.65625,,
186,1036096,5952,0.014482020861738857,0.8125,0.8125,,,,,
187,1043040,5984,0.013368934785277507,0.75,0.75,,,,,
188,1047168,6016,0.021763475964689437,0.71875,0.71875,,,,,
189,1053088,6048,0.014480799807535525,0.875,0.875,,,,,
190,1057728,6080,0.016551945816313796,0.75,0.75,,,,,
191,1064672,6112,0.01219741902642528,0.78125,0.78125,,,,,
192,1069312,6144,0.013658296651433791,0.8125,0.8125,,,,,
193,1074720,6176,0.0185881964079204,0.65625,0.65625,0.01571385210963462,0.8125,0.8125,,
194,1079360,6208,0.01759985694816951,0.78125,0.78125,,,,,
195,1085536,6240,0.014365015270439535,0.78125,0.78125,,,,,
196,1090688,6272,0.015532256086754218,0.78125,0.78125,,,,,
197,1095328,6304,0.021442031233323583,0.59375,0.59375,,,,,
198,1102016,6336,0.012080763086754261,0.875,0.875,,,,,
199,1108448,6368,0.013822912680543338,0.8125,0.8125,,,,,
200,1113856,6400,0.016868796556584995,0.625,0.625,,,,,
201,1118496,6432,0.01880964127606728,0.75,0.75,0.015485055988369837,0.65625,0.65625,,
202,1124672,6464,0.015114588547037885,0.75,0.75,,,,,
203,1130080,6496,0.013423223905929432,0.875,0.875,,,,,
204,1137024,6528,0.011204761286442487,0.84375,0.84375,,,,,
205,1142944,6560,0.012923345355701716,0.71875,0.71875,,,,,
206,1149120,6592,0.01314337036492714,0.71875,0.71875,,,,,
207,1154784,6624,0.018853197947718336,0.65625,0.65625,,,,,
208,1159680,6656,0.015821517539120936,0.8125,0.8125,,,,,
209,1164832,6688,0.01469620864226886,0.625,0.625,0.013664095389733448,0.875,0.875,,
210,1170752,6720,0.01277819291853155,0.75,0.75,,,,,
211,1177184,6752,0.013540619382372266,0.8125,0.8125,,,,,
212,1183360,6784,0.012671212643322377,0.84375,0.84375,,,,,
213,1189280,6816,0.014482592914885241,0.71875,0.71875,,,,,
214,1195712,6848,0.014270348541133928,0.875,0.875,,,,,
215,1201888,6880,0.015008698647929848,0.75,0.75,,,,,
216,1207808,6912,0.014581441827566233,0.84375,0.84375,,,,,
217,1212704,6944,0.014643592320578517,0.75,0.75,0.015115873746707432,0.75,0.75,,
218,1219392,6976,0.013564293805587173,0.75,0.75,,,,,
219,1225568,7008,0.013086443632646461,0.78125,0.78125,,,,,
220,1230976,7040,0.016149615029961508,0.65625,0.65625,,,,,
221,1236896,7072,0.012766505271104091,0.8125,0.8125,,,,,
222,1244096,7104,0.014557041695976044,0.65625,0.65625,,,,,
223,1249504,7136,0.01991188582248638,0.6875,0.6875,,,,,
224,1254400,7168,0.016008345674720065,0.8125,0.8125,,,,,
225,1260576,7200,0.012048244864484204,0.84375,0.84375,0.01611769598789138,0.71875,0.71875,,
226,1265216,7232,0.01711143882439208,0.84375,0.84375,,,,,
227,1270880,7264,0.013001138639897396,0.78125,0.78125,,,,,
228,1276032,7296,0.016126643629905207,0.75,0.75,,,,,
229,1281184,7328,0.015808170528097958,0.71875,0.71875,,,,,
230,1286592,7360,0.013828850846442475,0.84375,0.84375,,,,,
231,1292512,7392,0.014070339366113791,0.78125,0.78125,,,,,
232,1297152,7424,0.021007551600618204,0.625,0.625,,,,,
233,1303072,7456,0.015307252624743419,0.75,0.75,0.011183278776603292,0.8125,0.8125,,
234,1307968,7488,0.015398411808485455,0.875,0.875,,,,,
235,1314912,7520,0.011602442102709346,0.8125,0.8125,,,,,
236,1321600,7552,0.009715431321695368,0.90625,0.90625,,,,,
237,1327776,7584,0.012054743679443465,0.8125,0.8125,,,,,
238,1331648,7616,0.02602640583034065,0.59375,0.59375,,,,,
239,1336800,7648,0.01491202973753999,0.8125,0.8125,,,,,
240,1341184,7680,0.01721491777692406,0.78125,0.78125,,,,,
241,1347616,7712,0.01389043089062785,0.71875,0.71875,0.012944267847365189,0.875,0.875,,
242,1353280,7744,0.013718285538737924,0.84375,0.84375,,,,,
243,1358176,7776,0.014740980592957064,0.8125,0.8125,,,,,
244,1364352,7808,0.014156385957838915,0.78125,0.78125,,,,,
245,1369504,7840,0.01551803987675696,0.78125,0.78125,,,,,
246,1375936,7872,0.012788207887393316,0.84375,0.84375,,,,,
247,1380320,7904,0.01665730836877223,0.71875,0.71875,,,,,
248,1384960,7936,0.01716269266912251,0.78125,0.78125,,,,,
249,1389856,7968,0.016600836145254885,0.75,0.75,0.012043087403927916,0.8125,0.8125,,
250,1395264,8000,0.014964270709871517,0.78125,0.78125,,,,,
251,1401440,8032,0.012528657729383713,0.78125,0.78125,,,,,
252,1408896,8064,0.010605002859956964,0.90625,0.90625,,,,,
253,1413792,8096,0.015170173650982128,0.875,0.875,,,,,
254,1418688,8128,0.013952888647910128,0.84375,0.84375,,,,,
255,1425120,8160,0.010875700321925115,0.875,0.875,,,,,
256,1431552,8192,0.013901259397221208,0.875,0.875,,,,,
257,1437984,8224,0.013240833838602552,0.84375,0.84375,0.01729671344106526,0.75,0.75,,
258,1442880,8256,0.01341318485586003,0.78125,0.78125,,,,,
259,1449568,8288,0.012951305702231882,0.71875,0.71875,,,,,
260,1455744,8320,0.01228837907382238,0.78125,0.78125,,,,,
261,1461664,8352,0.014034729167796177,0.8125,0.8125,,,,,
262,1466816,8384,0.019474993636780742,0.75,0.75,,,,,
263,1471968,8416,0.013401584759072077,0.8125,0.8125,,,,,
264,1476352,8448,0.015628343412274603,0.84375,0.84375,,,,,
265,1481760,8480,0.014441176903986438,0.75,0.75,0.01451965026886183,0.625,0.625,,
266,1487680,8512,0.013339746410163876,0.78125,0.78125,,,,,
267,1492832,8544,0.015520172637487603,0.8125,0.8125,,,,,
268,1498496,8576,0.014451631116718001,0.78125,0.78125,,,,,
269,1503904,8608,0.01411165077953038,0.78125,0.78125,,,,,
270,1510336,8640,0.012273000856301473,0.75,0.75,,,,,
271,1516768,8672,0.013184250347368372,0.71875,0.71875,,,,,
272,1522432,8704,0.011691487237640259,0.875,0.875,,,,,
273,1527328,8736,0.013520843245922965,0.90625,0.90625,0.014683272672803631,0.75,0.75,,
274,1534016,8768,0.011017461448921368,0.875,0.875,,,,,
275,1539424,8800,0.012316886762747553,0.8125,0.8125,,,,,
276,1544576,8832,0.013331419590473759,0.90625,0.90625,,,,,
277,1549216,8864,0.01679596346426447,0.78125,0.78125,,,,,
278,1554368,8896,0.016062872192303256,0.78125,0.78125,,,,,
279,1561056,8928,0.011403846200805859,0.78125,0.78125,,,,,
280,1566720,8960,0.015932807519774928,0.71875,0.71875,,,,,
281,1572128,8992,0.01463759199140505,0.65625,0.65625,0.011952086745184737,0.78125,0.78125,,
282,1578560,9024,0.012511424188253033,0.8125,0.8125,,,,,
283,1582432,9056,0.01637767103968337,0.96875,0.96875,,,,,
284,1587840,9088,0.01540771532503142,0.84375,0.84375,,,,,
285,1592992,9120,0.014417593904608297,0.875,0.875,,,,,
286,1597632,9152,0.01437683980396243,0.9375,0.9375,,,,,
287,1603808,9184,0.012058688267278761,0.8125,0.8125,,,,,
288,1609728,9216,0.013153623656524765,0.8125,0.8125,,,,,
289,1616160,9248,0.012136190935539116,0.84375,0.84375,0.012748998722009217,0.75,0.75,,
290,1621568,9280,0.012643092020527819,0.84375,0.84375,,,,,
291,1626464,9312,0.0177393885183778,0.78125,0.78125,,,,,
292,1631872,9344,0.01536159457888337,0.84375,0.84375,,,,,
293,1638048,9376,0.014589288054614881,0.84375,0.84375,,,,,
294,1641920,9408,0.01894855156686763,0.78125,0.78125,,,,,
295,1648096,9440,0.014471756107827806,0.875,0.875,,,,,
296,1653248,9472,0.015197850729534099,0.90625,0.90625,,,,,
297,1657632,9504,0.012713194053073484,0.9375,0.9375,0.01773330067651404,0.71875,0.71875,,
298,1664064,9536,0.013569125485772349,0.78125,0.78125,,,,,
299,1668448,9568,0.0179668462721985,0.78125,0.78125,,,,,
300,1673856,9600,0.016374627272086478,0.75,0.75,,,,,
301,1678752,9632,0.01750769266021177,0.71875,0.71875,,,,,
302,1684160,9664,0.012634430392994802,0.90625,0.90625,,,,,
303,1690080,9696,0.013172646730088883,0.875,0.875,,,,,
304,1697024,9728,0.010981122903742572,0.84375,0.84375,,,,,
305,1702944,9760,0.015574818077691888,0.75,0.75,0.013281087499433153,0.875,0.875,,
306,1709376,9792,0.011874540271778119,0.8125,0.8125,,,,,
307,1715552,9824,0.013468815671408224,0.78125,0.78125,,,,,
308,1721216,9856,0.013815791339738193,0.875,0.875,,,,,
309,1726112,9888,0.01616266464500028,0.875,0.875,,,,,
310,1732032,9920,0.013835696124322837,0.6875,0.6875,,,,,
311,1737696,9952,0.015347281225158183,0.65625,0.65625,,,,,
312,1743872,9984,0.012130979982811929,0.8125,0.8125,,,,,
313,1749024,10016,0.013710789760979692,0.8125,0.8125,0.01389592308183111,0.9375,0.9375,,
314,1754176,10048,0.01358410920214007,0.8125,0.8125,,,,,
315,1760096,10080,0.015383528718655856,0.75,0.75,,,,,
316,1765760,10112,0.01445350585983546,0.90625,0.90625,,,,,
317,1771168,10144,0.017103673980902796,0.75,0.75,,,,,
318,1776832,10176,0.014490019307387796,0.8125,0.8125,,,,,
319,1781984,10208,0.015804024670322065,0.78125,0.78125,,,,,
320,1786624,10240,0.014681759037859668,0.875,0.875,,,,,
321,1790496,10272,0.01857135268059781,0.78125,0.78125,0.015846857427673472,0.78125,0.78125,,
322,1796160,10304,0.015387392900908887,0.71875,0.71875,,,,,
323,1802592,10336,0.012341482564486646,0.78125,0.78125,,,,,
324,1809536,10368,0.011623260689691169,0.8125,0.8125,,,,,
325,1816224,10400,0.011935651421672872,0.8125,0.8125,,,,,
326,1823168,10432,0.010217691026095621,0.90625,0.90625,,,,,
327,1827552,10464,0.017612103153719333,0.71875,0.71875,,,,,
328,1832448,10496,0.014900401535979576,0.65625,0.65625,,,,,
